Date,Origin,Destination,Duration
2018-11-17T12:00:00,mauritshuis,gemeentemuseume,1440
2018-11-17T12:00:00,mauritshuis,kijkduin,2580
2018-11-17T12:00:00,mauritshuis,de uithof,2400
2018-11-17T12:00:00,mauritshuis,haagsemarkt,1380
2018-11-17T12:00:00,mauritshuis,familiepark drievliet,2160
2018-11-17T12:00:00,mauritshuis,huistenbosch,960
2018-11-17T12:00:00,mauritshuis,Museum Voorlinden,-1
2018-11-17T12:00:00,familiepark drievliet,centraal,2340
2018-11-17T12:00:00,familiepark drievliet,maduradam,3240
2018-11-17T12:00:00,familiepark drievliet,gemeentemuseume,3420
2018-11-17T12:00:00,familiepark drievliet,kijkduin,4080
2018-11-17T12:00:00,familiepark drievliet,de uithof,3900
2018-11-17T12:00:00,familiepark drievliet,haagsemarkt,2760
2018-11-17T12:00:00,familiepark drievliet,mauritshuis,2160
2018-11-17T12:00:00,familiepark drievliet,huistenbosch,2760
2018-11-17T12:00:00,familiepark drievliet,Museum Voorlinden,-1
2018-11-17T12:00:00,huistenbosch,centraal,720
2018-11-17T12:00:00,huistenbosch,maduradam,1200
2018-11-17T12:00:00,huistenbosch,gemeentemuseume,2040
2018-11-17T12:00:00,huistenbosch,kijkduin,3180
2018-11-17T12:00:00,huistenbosch,de uithof,2520
2018-11-17T12:00:00,huistenbosch,haagsemarkt,1380
2018-11-17T12:00:00,huistenbosch,mauritshuis,1380
2018-11-17T12:00:00,huistenbosch,familiepark drievliet,2700
2018-11-17T12:00:00,huistenbosch,Museum Voorlinden,-1
2018-11-17T12:00:00,Museum Voorlinden,centraal,-1
2018-11-17T12:00:00,Museum Voorlinden,maduradam,-1
2018-11-17T12:00:00,Museum Voorlinden,gemeentemuseume,-1
2018-11-17T12:00:00,Museum Voorlinden,kijkduin,-1
2018-11-17T12:00:00,Museum Voorlinden,de uithof,-1
2018-11-17T12:00:00,Museum Voorlinden,haagsemarkt,-1
2018-11-17T12:00:00,Museum Voorlinden,mauritshuis,-1
2018-11-17T12:00:00,Museum Voorlinden,familiepark drievliet,-1
2018-11-17T12:00:00,Museum Voorlinden,huistenbosch,-1
2018-11-17T12:30:00,centraal,maduradam,1080
2018-11-17T12:30:00,centraal,gemeentemuseume,1920
2018-11-17T12:30:00,centraal,kijkduin,2760
2018-11-17T12:30:00,centraal,de uithof,2340
2018-11-17T12:30:00,centraal,haagsemarkt,1260
2018-11-17T12:30:00,centraal,mauritshuis,840
2018-11-17T12:30:00,centraal,familiepark drievliet,2160
2018-11-17T12:30:00,centraal,huistenbosch,840
2018-11-17T12:30:00,centraal,Museum Voorlinden,-1
2018-11-17T12:30:00,maduradam,centraal,1200
2018-11-17T12:30:00,maduradam,gemeentemuseume,2460
2018-11-17T12:30:00,maduradam,kijkduin,3420
2018-11-17T12:30:00,maduradam,de uithof,3600
2018-11-17T12:30:00,maduradam,haagsemarkt,2040
2018-11-17T12:30:00,maduradam,mauritshuis,1260
